,USDA Symbol,URLS,COUNT,Source,Scientific Name,Common Name,String
234,COSE16,"https://arcadianatives.com/, https://archewild.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, http://www.hungryhookfarm.com/, https://www.meadowsweetnative.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",13,"Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Meadowsweet Native York, Overhill Gardens, Redbud Media",Cornus sericea,Redosier Dogwood,"Redosier Dogwood (Cornus sericea): Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Meadowsweet Native York, Overhill Gardens, Redbud Media"
235,COTI3,https://www.keystonewildflowers.com/,1,Keystone Robesonia,Coreopsis tinctoria,Plains Coreopsis,Plains Coreopsis (Coreopsis tinctoria): Keystone Robesonia
236,COTR4,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/",12,"Archewild Quakertown, Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media",Coreopsis tripteris,Tall Tickseed,"Tall Tickseed (Coreopsis tripteris): Archewild Quakertown, Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media"
237,COVE5,"https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.diakon.org/wilderness-greenhouse/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",6,"David Brothers Norristown, Diakon Boiling Springs, Fox Hill Gardens, Gino's Newtown, GroWild, Overhill Gardens",Coreopsis verticillata,Whorled Tickseed,"Whorled Tickseed (Coreopsis verticillata): David Brothers Norristown, Diakon Boiling Springs, Fox Hill Gardens, Gino's Newtown, GroWild, Overhill Gardens"
238,COVI3,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Commelina virginica,Virginia Dayflower,Virginia Dayflower (Commelina virginica): Hungry Hook Bainbridge
239,CRAE,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Crataegus aestivalis,May Hawthorn,"May Hawthorn (Crataegus aestivalis): GroWild, Overhill Gardens"
240,CRCR2,"http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",4,"Friendship Farms Latrobe, Go Native Trees, GroWild, Overhill Gardens",Crataegus crus-galli,Cockspur Hawthorn,"Cockspur Hawthorn (Crataegus crus-galli): Friendship Farms Latrobe, Go Native Trees, GroWild, Overhill Gardens"
241,CRMA5,http://www.superiortrees.net,1,Superior Trees,Crataegus marshallii,Parsley Hawthorn,Parsley Hawthorn (Crataegus marshallii): Superior Trees
242,CRMO2,"https://www.gonativetrees.com/, https://redbudnative.com/",2,"Go Native Trees, Redbud Media",Crataegus mollis,Downy Hawthorn,"Downy Hawthorn (Crataegus mollis): Go Native Trees, Redbud Media"
243,CROP,http://www.superiortrees.net,1,Superior Trees,Crataegus opaca,Western Mayhaw,Western Mayhaw (Crataegus opaca): Superior Trees
244,CRPH,"https://arcadianatives.com/, https://archewild.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.growildinc.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html",6,"Arcadia Natives Washington, Archewild Quakertown, Friendship Farms Latrobe, GroWild, Musser Forests Indiana, Overhill Gardens",Crataegus phaenopyrum,Washington Hawthorn,"Washington Hawthorn (Crataegus phaenopyrum): Arcadia Natives Washington, Archewild Quakertown, Friendship Farms Latrobe, GroWild, Musser Forests Indiana, Overhill Gardens"
245,CRSA4,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Crotalaria sagittalis,Arrowhead Rattlebox,Arrowhead Rattlebox (Crotalaria sagittalis): Hungry Hook Bainbridge
246,CRVI2,"https://edgeofthewoodsnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",4,"Edge of the Woods Orefield, GroWild, Overhill Gardens, Redbud Media",Crataegus viridis,Green Hawthorn,"Green Hawthorn (Crataegus viridis): Edge of the Woods Orefield, GroWild, Overhill Gardens, Redbud Media"
247,CUOR,"https://archewild.com/, http://www.hungryhookfarm.com/",2,"Archewild Quakertown, Hungry Hook Bainbridge",Cunila origanoides,Common Dittany,"Common Dittany (Cunila origanoides): Archewild Quakertown, Hungry Hook Bainbridge"
248,CUVI,"http://www.hungryhookfarm.com/, https://www.taitfarmfoodslocal.com",2,"Hungry Hook Bainbridge, Tait Farm",Cuphea viscosissima,Blue Waxweed,"Blue Waxweed (Cuphea viscosissima): Hungry Hook Bainbridge, Tait Farm"
249,CYHA,http://foxhillgardens.com,1,Fox Hill Gardens,Cyperus haspan,Haspan Flatsedge,Haspan Flatsedge (Cyperus haspan): Fox Hill Gardens
250,CYRA,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Cyrilla racemiflora,Swamp Titi,"Swamp Titi (Cyrilla racemiflora): GroWild, Overhill Gardens, Superior Trees"
251,DACA7,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Dalea candida,White Prairie Clover,"White Prairie Clover (Dalea candida): GroWild, Overhill Gardens"
252,DAFO2,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Dalea foliosa,Leafy Prairie Clover,"Leafy Prairie Clover (Dalea foliosa): GroWild, Overhill Gardens"
253,DAFR6,https://www.ginosnursery.com/,1,Gino's Newtown,Dasiphora fruticosa,Shrubby Cinquefoil,Shrubby Cinquefoil (Dasiphora fruticosa): Gino's Newtown
254,DAPU5,"https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",5,"Diakon Boiling Springs, Edge of the Woods Orefield, Gino's Newtown, GroWild, Overhill Gardens",Dalea purpurea,Purple Prairie Clover,"Purple Prairie Clover (Dalea purpurea): Diakon Boiling Springs, Edge of the Woods Orefield, Gino's Newtown, GroWild, Overhill Gardens"
255,DASP2,"https://archewild.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",3,"Archewild Quakertown, GroWild, Overhill Gardens",Danthonia spicata,Poverty Oatgrass,"Poverty Oatgrass (Danthonia spicata): Archewild Quakertown, GroWild, Overhill Gardens"
256,DEBA4,http://www.superiortrees.net,1,Superior Trees,Decumaria barbara,Woodvamp,Woodvamp (Decumaria barbara): Superior Trees
257,DECA7,"https://archewild.com/, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",3,"Archewild Quakertown, Redbud Media, Tait Farm",Desmodium canadense,Showy Ticktrefoil,"Showy Ticktrefoil (Desmodium canadense): Archewild Quakertown, Redbud Media, Tait Farm"
258,DECE,"https://www.ginosnursery.com/, https://redbudnative.com/, http://ruffnermountain.org/",3,"Gino's Newtown, Redbud Media, Ruffner Mountain Nature Preserve",Deschampsia cespitosa,Tufted Hairgrass,"Tufted Hairgrass (Deschampsia cespitosa): Gino's Newtown, Redbud Media, Ruffner Mountain Nature Preserve"
259,DEEX,"https://calyxnativenursery.com/, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",7,"Calyx Native Nursery, Edge of the Woods Orefield, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Redbud Media, Tait Farm",Delphinium exaltatum,Tall Larkspur,"Tall Larkspur (Delphinium exaltatum): Calyx Native Nursery, Edge of the Woods Orefield, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Redbud Media, Tait Farm"
260,DEFL,"https://archewild.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://ruffnermountain.org/",4,"Archewild Quakertown, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve",Deschampsia flexuosa,Wavy Hairgrass,"Wavy Hairgrass (Deschampsia flexuosa): Archewild Quakertown, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve"
261,DEIL,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Desmanthus illinoensis,Illinois Bundleflower,"Illinois Bundleflower (Desmanthus illinoensis): GroWild, Overhill Gardens"
262,DEPU2,"https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html",4,"David Brothers Norristown, GroWild, Keystone Robesonia, Overhill Gardens",Dennstaedtia punctilobula,Eastern Hayscented Fern,"Eastern Hayscented Fern (Dennstaedtia punctilobula): David Brothers Norristown, GroWild, Keystone Robesonia, Overhill Gardens"
263,DETR,"https://www.keystonewildflowers.com/, https://redbudnative.com/",2,"Keystone Robesonia, Redbud Media",Delphinium tricorne,Dwarf Larkspur,"Dwarf Larkspur (Delphinium tricorne): Keystone Robesonia, Redbud Media"
264,DIAM,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Diarrhena americana,American Beakgrain,"American Beakgrain (Diarrhena americana): GroWild, Overhill Gardens"
265,DICA,https://redbudnative.com/,1,Redbud Media,Dicentra canadensis,Squirrel Corn,Squirrel Corn (Dicentra canadensis): Redbud Media
266,DICL,"http://ruffnermountain.org/, https://www.taitfarmfoodslocal.com",2,"Ruffner Mountain Nature Preserve, Tait Farm",Dichanthelium clandestinum,Deertongue,"Deertongue (Dichanthelium clandestinum): Ruffner Mountain Nature Preserve, Tait Farm"
267,DICU,"https://calyxnativenursery.com/, https://www.ginosnursery.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, http://www.perennialgardens.name",5,"Calyx Native Nursery, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Perennial Gardens New Bloomfield",Dicentra cucullaria,Dutchman'S Breeches,"Dutchman'S Breeches (Dicentra cucullaria): Calyx Native Nursery, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Perennial Gardens New Bloomfield"
268,DIEX,"https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",6,"Edge of the Woods Orefield, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media",Dicentra eximia,Turkey Corn,"Turkey Corn (Dicentra eximia): Edge of the Woods Orefield, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media"
269,DIFO,http://foxhillgardens.com,1,Fox Hill Gardens,Dicentra formosa,Pacific Bleeding Heart,Pacific Bleeding Heart (Dicentra formosa): Fox Hill Gardens
270,DILO,"https://archewild.com/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",6,"Archewild Quakertown, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media",Diervilla lonicera,Northern Bush Honeysuckle,"Northern Bush Honeysuckle (Diervilla lonicera): Archewild Quakertown, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media"
271,DIPA9,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Dirca palustris,Eastern Leatherwood,"Eastern Leatherwood (Dirca palustris): GroWild, Overhill Gardens, Superior Trees"
272,DISA10,"http://foxhillgardens.com, https://www.taitfarmfoodslocal.com",2,"Fox Hill Gardens, Tait Farm",Diospyros sandwicensis,Lama,"Lama (Diospyros sandwicensis): Fox Hill Gardens, Tait Farm"
273,DISE,"https://archewild.com/, https://www.goodhostplants.com/plant-availability/",2,"Archewild Quakertown, Good Host Plants Philly",Diervilla sessilifolia,Southern Bush Honeysuckle,"Southern Bush Honeysuckle (Diervilla sessilifolia): Archewild Quakertown, Good Host Plants Philly"
274,DIVI5,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://calyxnativenursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, http://www.hungryhookfarm.com/, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com, http://www.wildlifegroup.com",17,"Archewild Quakertown, Bowman's New Hope, Calyx Native Nursery, David Brothers Norristown, Gino's Newtown, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm, The Wildlife Group",Diospyros virginiana,Common Persimmon,"Common Persimmon (Diospyros virginiana): Archewild Quakertown, Bowman's New Hope, Calyx Native Nursery, David Brothers Norristown, Gino's Newtown, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm, The Wildlife Group"
275,DOAM,https://calyxnativenursery.com/,1,Calyx Native Nursery,Dodecatheon amethystinum,Jeweled Shootingstar,Jeweled Shootingstar (Dodecatheon amethystinum): Calyx Native Nursery
276,DOME,"https://www.diakon.org/wilderness-greenhouse/, https://www.keystonewildflowers.com/, https://redbudnative.com/, http://ruffnermountain.org/",4,"Diakon Boiling Springs, Keystone Robesonia, Redbud Media, Ruffner Mountain Nature Preserve",Dodecatheon meadia,Pride Of Ohio,"Pride Of Ohio (Dodecatheon meadia): Diakon Boiling Springs, Keystone Robesonia, Redbud Media, Ruffner Mountain Nature Preserve"
277,DOUM2,"https://archewild.com/, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, http://www.hungryhookfarm.com/",5,"Archewild Quakertown, Edge of the Woods Orefield, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge",Doellingeria umbellata,Parasol Whitetop,"Parasol Whitetop (Doellingeria umbellata): Archewild Quakertown, Edge of the Woods Orefield, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge"
278,DRFI2,"http://foxhillgardens.com, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",3,"Fox Hill Gardens, GroWild, Overhill Gardens",Dryopteris filix-mas,Male Fern,"Male Fern (Dryopteris filix-mas): Fox Hill Gardens, GroWild, Overhill Gardens"
279,DRMA4,"https://bhwp.org/grow/native-plant-nursery/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/",12,"Bowman's New Hope, David Brothers Norristown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Recreative Natives, Redbud Media",Dryopteris marginalis,Marginal Woodfern,"Marginal Woodfern (Dryopteris marginalis): Bowman's New Hope, David Brothers Norristown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Recreative Natives, Redbud Media"
280,ECPA,"https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/",6,"Diakon Boiling Springs, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Recreative Natives",Echinacea pallida,Pale Purple Coneflower,"Pale Purple Coneflower (Echinacea pallida): Diakon Boiling Springs, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Recreative Natives"
281,ECPA2,"https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html",6,"Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, GroWild, Keystone Robesonia, Overhill Gardens",Echinacea paradoxa,Bush'S Purple Coneflower,"Bush'S Purple Coneflower (Echinacea paradoxa): Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, GroWild, Keystone Robesonia, Overhill Gardens"
282,ECPR,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Eclipta prostrata,False Daisy,False Daisy (Eclipta prostrata): Hungry Hook Bainbridge
283,ECPU,"https://archewild.com/, https://bbgardens.org/, https://bhwp.org/grow/native-plant-nursery/, http://www.butterflyoasis.net/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.diakon.org/wilderness-greenhouse/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",20,"Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, David Brothers Norristown, Diakon Boiling Springs, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Keystone Robesonia, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Echinacea purpurea,Purple Coneflower,"Purple Coneflower (Echinacea purpurea): Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, David Brothers Norristown, Diakon Boiling Springs, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Keystone Robesonia, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
284,ECSA,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Echinacea sanguinea,Sanguine Purple Coneflower,"Sanguine Purple Coneflower (Echinacea sanguinea): GroWild, Overhill Gardens"
285,ECSI,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Echinacea simulata,Wavyleaf Purple Coneflower,"Wavyleaf Purple Coneflower (Echinacea simulata): GroWild, Overhill Gardens"
286,ELGL3,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Elymus glabriflorus,Southeastern Wildrye,"Southeastern Wildrye (Elymus glabriflorus): GroWild, Overhill Gardens"
287,ELHY,"https://archewild.com/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, https://www.taitfarmfoodslocal.com",8,"Archewild Quakertown, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Tait Farm",Elymus hystrix,Eastern Bottlebrush Grass,"Eastern Bottlebrush Grass (Elymus hystrix): Archewild Quakertown, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Tait Farm"
288,ELRI,"https://archewild.com/, http://www.hungryhookfarm.com/",2,"Archewild Quakertown, Hungry Hook Bainbridge",Elymus riparius,Riverbank Wildrye,"Riverbank Wildrye (Elymus riparius): Archewild Quakertown, Hungry Hook Bainbridge"
289,ELTE,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Eleocharis tenuis,Slender Spikerush,Slender Spikerush (Eleocharis tenuis): Hungry Hook Bainbridge
290,ELVI,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Elymus villosus,Hairy Wildrye,Hairy Wildrye (Elymus villosus): Hungry Hook Bainbridge
291,ELVI3,"http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://ruffnermountain.org/, https://www.taitfarmfoodslocal.com",7,"Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve, Tait Farm",Elymus virginicus,Virginia Wildrye,"Virginia Wildrye (Elymus virginicus): Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve, Tait Farm"
292,ERAL9,https://redbudnative.com/,1,Redbud Media,Erythronium albidum,White Fawnlily,White Fawnlily (Erythronium albidum): Redbud Media
293,ERAM5,https://www.ginosnursery.com/,1,Gino's Newtown,Erythronium americanum,Dogtooth Violet,Dogtooth Violet (Erythronium americanum): Gino's Newtown
294,ERAN,www.facebook.com/recreativenatives/,1,Recreative Natives,Erigeron annuus,Eastern Daisy Fleabane,Eastern Daisy Fleabane (Erigeron annuus): Recreative Natives
295,ERAQ,http://www.superiortrees.net,1,Superior Trees,Eryngium aquaticum,Rattlesnakemaster,Rattlesnakemaster (Eryngium aquaticum): Superior Trees
296,ERAR27,https://edgeofthewoodsnursery.com/,1,Edge of the Woods Orefield,Ericameria arborescens,Goldenfleece,Goldenfleece (Ericameria arborescens): Edge of the Woods Orefield
297,ERHE4,"https://archewild.com/, http://www.superiortrees.net",2,"Archewild Quakertown, Superior Trees",Erythrina herbacea,Redcardinal,"Redcardinal (Erythrina herbacea): Archewild Quakertown, Superior Trees"
298,ERPU,"https://archewild.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://www.superiortrees.net",6,"Archewild Quakertown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Superior Trees",Erigeron pulchellus,Robin'S Plantain,"Robin'S Plantain (Erigeron pulchellus): Archewild Quakertown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Superior Trees"
299,ERSP,"https://archewild.com/, https://calyxnativenursery.com/, https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",11,"Archewild Quakertown, Calyx Native Nursery, Diakon Boiling Springs, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Eragrostis spectabilis,Purple Lovegrass,"Purple Lovegrass (Eragrostis spectabilis): Archewild Quakertown, Calyx Native Nursery, Diakon Boiling Springs, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
300,ERTR3,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Eragrostis trichodes,Sand Lovegrass,"Sand Lovegrass (Eragrostis trichodes): GroWild, Overhill Gardens"
301,ERYU,"https://archewild.com/, http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://ruffnermountain.org/, http://www.superiortrees.net",9,"Archewild Quakertown, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Gino's Newtown, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve, Superior Trees",Eryngium yuccifolium,Rattlesnake Master,"Rattlesnake Master (Eryngium yuccifolium): Archewild Quakertown, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Gino's Newtown, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve, Superior Trees"
302,EUAL3,"https://www.diakon.org/wilderness-greenhouse/, https://www.taitfarmfoodslocal.com",2,"Diakon Boiling Springs, Tait Farm",Eupatorium altissimum,Tall Thoroughwort,"Tall Thoroughwort (Eupatorium altissimum): Diakon Boiling Springs, Tait Farm"
303,EUAM9,"https://www.ginosnursery.com/, https://www.heartwoodnurseryinc.com, www.facebook.com/recreativenatives/, http://ruffnermountain.org/, http://www.superiortrees.net, http://www.wildlifegroup.com",6,"Gino's Newtown, Heartwood Felton, Recreative Natives, Ruffner Mountain Nature Preserve, Superior Trees, The Wildlife Group",Euonymus americanus,Bursting-Heart,"Bursting-Heart (Euonymus americanus): Gino's Newtown, Heartwood Felton, Recreative Natives, Ruffner Mountain Nature Preserve, Superior Trees, The Wildlife Group"
304,EUCA26,https://archewild.com/,1,Archewild Quakertown,Euthamia caroliniana,Slender Goldentop,Slender Goldentop (Euthamia caroliniana): Archewild Quakertown
305,EUCO10,"http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",5,"Friendship Farms Latrobe, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media",Euphorbia corollata,Flowering Spurge,"Flowering Spurge (Euphorbia corollata): Friendship Farms Latrobe, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media"
